cowid,AmbientPPM,BaseAnimalPPM,PeakAnimalPPM,MethanePPmAmbient,PPMPeakDelta,time
4,155,519,2967,645,868,11/13/2023 08:46:01
4,133,709,3559,332,1735,11/13/2023 15:15:50
4,164,963,435,265,1644,11/14/2023 07:39:41
4,137,838,2674,174,1267,11/14/2023 14:52:32
5,130,358,3814,424,1769,11/05/2023 10:15:32
5,180,703,2185,446,654,11/05/2023 14:32:59
5,168,266,2917,461,921,11/06/2023 11:48:20
5,140,681,2534,514,823,11/06/2023 13:25:57
5,124,597,1071,391,378,11/07/2023 05:32:18
5,151,906,3329,342,1989,11/07/2023 12:51:44
5,194,682,1372,423,1541,11/08/2023 11:20:35
5,123,806,2515,260,534,11/08/2023 14:45:57
5,179,463,2757,290,1164,11/09/2023 07:03:42
5,104,370,1862,458,1207,11/09/2023 15:38:47
5,130,358,3814,424,1769,11/10/2023 07:15:32
5,180,703,2185,446,654,11/10/2023 14:32:59
5,168,266,2917,461,921,11/11/2023 06:48:20
5,140,681,2534,514,823,11/11/2023 13:25:57
5,124,597,1071,391,378,11/12/2023 09:32:18
5,151,906,3329,342,1989,11/12/2023 12:51:44
5,194,682,1372,423,1541,11/13/2023 07:20:35
5,123,806,2515,260,534,11/13/2023 15:45:57
5,179,463,2757,290,1164,11/14/2023 07:03:42
5,104,370,1862,458,1207,11/14/2023 18:38:47
6,101,370,2964,168,906,11/05/2023 08:04:55
6,133,802,1473,510,1014,11/05/2023 12:10:19
6,154,931,3679,640,1678,11/06/2023 07:35:47
6,192,231,2907,153,1838,11/06/2023 13:22:14
6,134,200,3751,245,979,11/07/2023 09:59:22
6,197,310,3085,467,492,11/07/2023 14:30:19
6,155,519,2967,645,868,11/08/2023 08:46:01
6,133,709,3559,332,1735,11/08/2023 15:15:50
6,164,963,435,265,1644,11/09/2023 07:39:41
6,137,838,2674,174,1267,11/09/2023 14:52:32
6,101,370,2964,168,906,11/10/2023 08:04:55
6,133,802,1473,510,1014,11/10/2023 12:10:19
6,154,931,3679,640,1678,11/11/2023 07:35:47
6,192,231,2907,153,1838,11/11/2023 13:22:14
6,134,200,3751,245,979,11/12/2023 09:59:22
6,197,310,3085,467,492,11/12/2023 14:30:19
6,155,519,2967,645,868,11/13/2023 08:46:01
6,133,709,3559,332,1735,11/13/2023 15:15:50
6,164,963,435,265,1644,11/14/2023 07:39:41
6,137,838,2674,174,1267,11/14/2023 14:52:32
